week,model_name,model_family,feature_set,R2,MAPE,MdAPE,MAE,RMSE,note
Week 7,xgb_log_market_context_all,XGBoost,market_context,0.6345324091513331,0.0718231185750293,0.0248769324736471,74595.59813620435,1013250.0029657184,Week 7 advanced-model comparison
Week 7,xgb_log_baseline_all,XGBoost,baseline,0.6063335604395226,0.0723062292281882,0.0245486067396869,81179.86326597724,1051614.0375124484,Week 7 advanced-model comparison
Week 7,xgb_log_reality_all,XGBoost,reality,0.63465885520283,0.072611347803341,0.02533767198012,74895.49445956555,1013074.7035011636,Week 7 advanced-model comparison
Week 7,xgb_log_market_context_filtered,XGBoost,market_context,0.6194844944524266,0.0730737211672693,0.0241356194690265,75860.19488226333,1033899.5771767306,Week 7 advanced-model comparison
Week 5,DecisionTree,DecisionTree,retained_baseline_features,0.411706440691289,0.2359342799224269,0.0793793210506662,211882.3296065152,1286171.9948612386,Week 5 model comparison on the same holdout month
Week 7,LinearRegression,LinearRegression,,0.6335646946074573,0.2456091540889269,0.1014421077412906,198948.92160690177,1014590.598631177,Week 7 advanced-model comparison
Week 6,baseline_features,LinearRegression,baseline_features,0.6335,0.2458,0.1014,199044.84,1014622.2,Week 6 feature-engineering comparison
Week 5,LinearRegression,LinearRegression,retained_baseline_features,0.6334868860465703,0.2460312006265898,0.1014332248118597,199158.7293024948,1015188.668130754,Week 5 model comparison on the same holdout month
Week 6,compact_engineered_features,LinearRegression,compact_engineered_features,0.6336,0.2492,0.1072,202077.73,1014488.36,Week 6 feature-engineering comparison
Week 6,refined_engineered_features,LinearRegression,refined_engineered_features,0.6294,0.2678,0.1171,213149.11,1020312.39,Week 6 feature-engineering comparison
Week 6,district_swap_features,LinearRegression,district_swap_features,0.5996,0.2745,0.1181,216407.22,1060573.54,Week 6 feature-engineering comparison
Week 6,full_engineered_features,LinearRegression,full_engineered_features,0.5873,0.3213,0.1223,245054.85,1076784.68,Week 6 feature-engineering comparison
Week 5,RandomForest,RandomForest,retained_baseline_features,0.484235779892935,0.4217787631658133,0.204056973518591,349229.06063054217,1204280.3705117244,Week 5 model comparison on the same holdout month
