feature,importance
num__ListPrice,0.4418905
cat__CountyOrParish_Riverside,0.16956404
num__list_price_per_sqft,0.10565567
num__log_living_area,0.10377608
cat__CountyOrParish_San Bernardino,0.056854337
num__LivingArea,0.05668956
num__BathroomsTotalInteger,0.032642424
num__property_age,0.008176261
num__Longitude,0.0071379403
cat__CountyOrParish_Alameda,0.0018582131
num__DaysOnMarket,0.0017561751
num__log_days_on_market,0.0017200758
cat__unified_district_name_Berkeley Unified,0.0013363514
num__Latitude,0.00070500304
cat__CountyOrParish_Santa Clara,0.00068356027
cat__unified_district_name_Ramona City Unified,0.0005596443
num__bedrooms_per_1000_sqft,0.00054346625
cat__unified_district_name_Oakland Unified,0.00048947096
num__lot_to_living_ratio,0.00046305396
num__YearBuilt,0.00042892937
num__BedroomsTotal,0.0004127119
cat__unified_district_name_Piedmont City Unified,0.00040094246
num__LotSizeSquareFeet,0.00038398223
cat__unified_district_name_West Contra Costa Unified,0.00036477603
cat__CountyOrParish_San Diego,0.00034430114
cat__unified_district_name_Newark Unified,0.00032905448
num__log_lot_size,0.0003232916
num__living_area_per_bedroom,0.00027896222
cat__unified_district_name_Valley Center-Pauma Unified,0.00027752525
cat__unified_district_name_Pasadena Unified,0.00026964588
cat__unified_district_name_San Francisco Unified,0.00026206076
num__bathrooms_per_bedroom,0.00025766535
cat__unified_district_name_Albany City Unified,0.00025545355
cat__unified_district_name_infrequent_sklearn,0.0002490851
cat__unified_district_name_Needles Unified,0.00024652833
cat__unified_district_name_Downey Unified,0.00021142997
cat__CountyOrParish_San Francisco,0.00021116972
num__is_unknown_district,0.00017601924
cat__CountyOrParish_Kern,0.00017536341
cat__unified_district_name_Moorpark Unified,0.00017449333
cat__unified_district_name_Los Angeles Unified,0.0001660668
cat__CountyOrParish_Los Angeles,0.00016207562
cat__unified_district_name_San Marino Unified,0.00013907852
cat__unified_district_name_Glendale Unified,0.00012844156
cat__unified_district_name_Yuba City Unified,0.00012827026
cat__unified_district_name_Lake Elsinore Unified,0.00012612094
cat__unified_district_name_South Pasadena Unified,0.00012240105
cat__unified_district_name_Yosemite Unified,0.00011562763
cat__unified_district_name_Cabrillo Unified,0.00010322682
cat__CountyOrParish_Ventura,8.859765e-05
cat__CountyOrParish_Butte,7.331394e-05
cat__unified_district_name_Compton Unified,7.13014e-05
cat__unified_district_name_South San Francisco Unified,4.0289317e-05
cat__unified_district_name_Pacific Grove Unified,0.0
cat__unified_district_name_Pajaro Valley Unified,0.0
cat__unified_district_name_Palo Alto Unified,0.0
cat__unified_district_name_Palo Verde Unified,0.0
cat__unified_district_name_Palos Verdes Peninsula Unified,0.0
cat__unified_district_name_Paradise Unified,0.0
cat__unified_district_name_Paramount Unified,0.0
cat__unified_district_name_Palm Springs Unified,0.0
cat__unified_district_name_Pittsburg Unified,0.0
cat__CountyOrParish_Contra Costa,0.0
cat__unified_district_name_Paso Robles Joint Unified,0.0
cat__CountyOrParish_Calaveras,0.0
cat__unified_district_name_Orange Unified,0.0
cat__unified_district_name_Placentia-Yorba Linda Unified,0.0
cat__unified_district_name_Pleasanton Unified,0.0
cat__unified_district_name_Pomona Unified,0.0
cat__unified_district_name_Poway Unified,0.0
cat__unified_district_name_Redlands Unified,0.0
cat__unified_district_name_Redondo Beach Unified,0.0
cat__unified_district_name_Rialto Unified,0.0
cat__unified_district_name_Orland Joint Unified,0.0
cat__CountyOrParish_Marin,0.0
cat__unified_district_name_Ojai Unified,0.0
cat__unified_district_name_Oceanside Unified,0.0
cat__unified_district_name_Mariposa County Unified,0.0
cat__unified_district_name_Martinez Unified,0.0
cat__unified_district_name_Marysville Joint Unified,0.0
cat__unified_district_name_Mendocino Unified,0.0
cat__unified_district_name_Middletown Unified,0.0
cat__unified_district_name_Milpitas Unified,0.0
cat__unified_district_name_Mojave Unified,0.0
cat__unified_district_name_Monrovia Unified,0.0
cat__unified_district_name_Montebello Unified,0.0
cat__unified_district_name_Monterey Peninsula Unified,0.0
cat__unified_district_name_Moreno Valley Unified,0.0
