experiment_name,feature_set,filter_train,max_depth,learning_rate,n_estimators,min_child_weight,feature_count,tuning_train_rows,validation_rows,MAE,RMSE,R2,MAPE,MdAPE,min_prediction,max_prediction,predictions_over_50m
xgb_log_market_context_filtered,market_context,True,3,0.05,450,25,28,47378,12034,253611.06847834782,11675395.3876187,0.013027309649353946,0.04113909558129691,0.025260797995085113,129072.336,1.9056528e+07,0
xgb_log_market_context_filtered,market_context,True,3,0.03,600,15,28,47378,12034,254225.7083554668,11675175.445206283,0.013064494704358554,0.0412904061431487,0.025454966064806198,130958.74,1.8883614e+07,0
xgb_log_market_context_all,market_context,False,3,0.03,600,15,28,47471,12034,252916.248102226,11670688.70051073,0.013822903313132628,0.04167996995625033,0.02585146660932124,77709.305,2.4880582e+07,0
xgb_log_market_context_all,market_context,False,3,0.05,450,25,28,47471,12034,253437.79430919688,11670788.952619929,0.013805960566880104,0.04184006999253308,0.025919038676647736,73541.16,2.3764684e+07,0
xgb_log_reality_all,reality,False,3,0.03,600,15,23,47471,12034,253774.9226519393,11670018.432378085,0.013936175822875652,0.041981214181577395,0.02630830465780573,80585.22,2.4442432e+07,0
xgb_log_reality_all,reality,False,3,0.05,450,25,23,47471,12034,253833.7285144954,11670670.300511872,0.013826012922790287,0.04215306638464399,0.02648167545541707,80857.66,2.3284552e+07,0
xgb_log_baseline_all,baseline,False,3,0.05,450,25,13,47471,12034,258746.42398280394,11674591.835178733,0.013163160641186611,0.042501577721792826,0.02599255622002248,87015.06,1.6781056e+07,0
xgb_log_baseline_all,baseline,False,3,0.03,600,15,13,47471,12034,259036.69950943682,11675638.498384995,0.012986206769801112,0.04262047324490658,0.026242962557077625,95912.67,1.6757068e+07,0
xgb_log_reality_all,reality,False,2,0.05,400,10,23,47471,12034,255256.84423479828,11672388.186303135,0.013535668165875259,0.04291858014952118,0.026810641983695652,81558.086,2.3186166e+07,0
xgb_log_baseline_all,baseline,False,2,0.05,400,10,13,47471,12034,260005.73449234982,11676934.333301326,0.012767104763103276,0.043147859488592157,0.026299503311258278,102686.81,1.6078579e+07,0
xgb_log_reality_all,reality,False,2,0.03,500,10,23,47471,12034,256460.01910716514,11673072.23787266,0.013420042770873719,0.043264284375763226,0.02660520714962121,86023.93,2.1397856e+07,0
xgb_log_market_context_all,market_context,False,2,0.05,400,10,28,47471,12034,255880.58957627867,11672204.801205544,0.013566664639569015,0.04339217243673001,0.027282108646743873,70140.3,2.3718858e+07,0
xgb_log_market_context_all,market_context,False,2,0.03,500,10,28,47471,12034,256531.44036801977,11673148.34357138,0.01340717818814452,0.043492911429307834,0.02730122804868088,73898.38,2.1652194e+07,0
xgb_log_market_context_filtered,market_context,True,2,0.03,500,10,28,47378,12034,259531.32026575744,11676719.98679683,0.012803348518866331,0.04354416260477053,0.02734681575006176,136341.39,1.6429948e+07,0
xgb_log_market_context_filtered,market_context,True,2,0.05,400,10,28,47378,12034,258422.7687267326,11675863.172322137,0.012948220254786147,0.04359577935960806,0.02752628787878788,134807.97,1.7610296e+07,0
xgb_log_baseline_all,baseline,False,2,0.03,500,10,13,47471,12034,261860.256951502,11677721.41990013,0.012634010930806072,0.04378304374060149,0.026581112841784944,108036.92,1.5372839e+07,0
